Frame,Time (s),Label,Confidence,"Bounding Box (x1,y1,x2,y2)"
1,0.02,With Helmet,0.01,"(454,151,519,222)"
2,0.03,With Helmet,0.01,"(450,151,517,222)"
2,0.03,With Helmet,0.01,"(711,129,806,206)"
2,0.03,With Helmet,0.01,"(74,108,151,183)"
3,0.05,With Helmet,0.01,"(77,109,152,180)"
3,0.05,With Helmet,0.01,"(453,152,517,222)"
3,0.05,With Helmet,0.01,"(713,129,807,208)"
4,0.07,With Helmet,0.01,"(720,129,808,208)"
4,0.07,With Helmet,0.01,"(451,151,516,222)"
4,0.07,With Helmet,0.01,"(77,109,150,177)"
5,0.08,With Helmet,0.01,"(721,129,808,209)"
5,0.08,With Helmet,0.01,"(450,151,516,224)"
6,0.1,With Helmet,0.01,"(448,151,516,224)"
6,0.1,With Helmet,0.01,"(723,128,809,209)"
7,0.12,With Helmet,0.01,"(450,151,516,224)"
7,0.12,With Helmet,0.01,"(721,128,809,209)"
8,0.13,With Helmet,0.01,"(449,151,515,224)"
8,0.13,With Helmet,0.01,"(78,111,154,177)"
8,0.13,With Helmet,0.01,"(728,130,812,208)"
9,0.15,With Helmet,0.01,"(449,151,515,224)"
9,0.15,With Helmet,0.01,"(729,130,814,209)"
9,0.15,With Helmet,0.01,"(78,111,154,174)"
10,0.17,With Helmet,0.01,"(449,152,514,223)"
10,0.17,With Helmet,0.01,"(729,130,818,209)"
11,0.18,With Helmet,0.01,"(448,151,514,223)"
11,0.18,With Helmet,0.01,"(729,130,820,209)"
11,0.18,With Helmet,0.01,"(85,110,152,165)"
12,0.2,With Helmet,0.01,"(447,151,513,222)"
12,0.2,With Helmet,0.01,"(87,109,154,164)"
12,0.2,With Helmet,0.01,"(729,131,818,210)"
13,0.22,With Helmet,0.01,"(447,151,513,221)"
13,0.22,With Helmet,0.01,"(730,131,819,211)"
14,0.23,With Helmet,0.01,"(442,151,512,220)"
14,0.23,With Helmet,0.01,"(730,131,820,212)"
15,0.25,With Helmet,0.01,"(443,151,512,220)"
15,0.25,With Helmet,0.01,"(730,132,822,213)"
16,0.27,With Helmet,0.01,"(441,152,511,220)"
16,0.27,With Helmet,0.01,"(730,132,821,213)"
17,0.28,With Helmet,0.01,"(443,152,511,222)"
17,0.28,With Helmet,0.01,"(730,132,821,215)"
18,0.3,With Helmet,0.01,"(444,154,511,221)"
18,0.3,With Helmet,0.01,"(730,132,821,215)"
19,0.32,With Helmet,0.01,"(443,153,512,221)"
19,0.32,With Helmet,0.01,"(731,133,822,215)"
20,0.33,With Helmet,0.01,"(445,153,512,220)"
20,0.33,With Helmet,0.01,"(731,133,824,215)"
21,0.35,With Helmet,0.02,"(445,153,513,222)"
21,0.35,With Helmet,0.01,"(731,134,823,215)"
22,0.37,With Helmet,0.02,"(446,152,512,222)"
22,0.37,With Helmet,0.01,"(731,135,820,215)"
23,0.38,With Helmet,0.01,"(446,152,513,223)"
23,0.38,With Helmet,0.01,"(730,135,821,215)"
24,0.4,With Helmet,0.01,"(444,153,512,223)"
24,0.4,With Helmet,0.01,"(730,135,821,215)"
25,0.42,With Helmet,0.01,"(441,152,513,222)"
25,0.42,With Helmet,0.01,"(730,135,822,215)"
26,0.43,With Helmet,0.01,"(441,152,512,224)"
26,0.43,With Helmet,0.01,"(730,136,819,216)"
27,0.45,With Helmet,0.01,"(446,151,512,225)"
27,0.45,With Helmet,0.01,"(731,136,820,215)"
28,0.47,With Helmet,0.01,"(447,152,512,225)"
28,0.47,With Helmet,0.01,"(731,137,817,216)"
29,0.48,With Helmet,0.01,"(445,152,512,225)"
29,0.48,With Helmet,0.01,"(731,137,817,216)"
29,0.48,With Helmet,0.01,"(113,99,188,161)"
30,0.5,With Helmet,0.01,"(445,154,513,227)"
31,0.52,With Helmet,0.01,"(445,155,513,229)"
32,0.53,With Helmet,0.01,"(444,155,513,229)"
32,0.53,With Helmet,0.01,"(123,99,195,162)"
33,0.55,With Helmet,0.01,"(441,154,515,229)"
33,0.55,With Helmet,0.01,"(123,99,195,162)"
34,0.57,With Helmet,0.01,"(440,154,513,229)"
34,0.57,With Helmet,0.01,"(123,99,196,162)"
34,0.57,No Helmet,0.01,"(730,144,849,231)"
34,0.57,No Helmet,0.01,"(109,104,193,179)"
35,0.58,With Helmet,0.01,"(440,155,512,229)"
35,0.58,With Helmet,0.01,"(124,99,197,160)"
35,0.58,No Helmet,0.01,"(730,145,848,232)"
36,0.6,With Helmet,0.02,"(439,155,513,230)"
36,0.6,With Helmet,0.01,"(125,99,198,161)"
36,0.6,No Helmet,0.01,"(730,145,847,232)"
37,0.62,With Helmet,0.02,"(439,155,516,229)"
37,0.62,With Helmet,0.01,"(126,99,201,161)"
37,0.62,No Helmet,0.01,"(730,145,844,234)"
38,0.63,With Helmet,0.02,"(440,156,513,230)"
38,0.63,With Helmet,0.01,"(126,99,201,161)"
38,0.63,No Helmet,0.01,"(730,146,844,236)"
38,0.63,With Helmet,0.01,"(730,142,822,222)"
39,0.65,With Helmet,0.01,"(440,158,512,230)"
39,0.65,With Helmet,0.01,"(127,99,205,161)"
39,0.65,No Helmet,0.01,"(729,147,840,237)"
40,0.67,With Helmet,0.02,"(440,157,517,230)"
40,0.67,With Helmet,0.01,"(126,99,207,161)"
40,0.67,No Helmet,0.01,"(713,148,853,240)"
40,0.67,With Helmet,0.01,"(730,143,819,223)"
41,0.68,With Helmet,0.01,"(441,158,514,230)"
41,0.68,With Helmet,0.01,"(128,100,205,161)"
41,0.68,With Helmet,0.01,"(729,147,824,229)"
41,0.68,With Helmet,0.01,"(319,107,406,186)"
41,0.68,No Helmet,0.01,"(703,149,853,243)"
42,0.7,With Helmet,0.01,"(440,158,513,230)"
42,0.7,With Helmet,0.01,"(728,148,823,229)"
42,0.7,No Helmet,0.01,"(705,149,851,244)"
43,0.72,With Helmet,0.01,"(441,158,513,230)"
43,0.72,With Helmet,0.01,"(728,150,821,231)"
43,0.72,With Helmet,0.01,"(313,108,401,186)"
43,0.72,No Helmet,0.01,"(712,150,846,242)"
43,0.72,With Helmet,0.01,"(131,100,205,160)"
44,0.73,With Helmet,0.01,"(441,160,513,230)"
44,0.73,With Helmet,0.01,"(724,149,811,231)"
44,0.73,With Helmet,0.01,"(310,108,399,185)"
44,0.73,No Helmet,0.01,"(699,150,832,246)"
45,0.75,With Helmet,0.01,"(722,150,808,232)"
45,0.75,With Helmet,0.01,"(439,160,509,230)"
45,0.75,With Helmet,0.01,"(307,109,397,185)"
45,0.75,No Helmet,0.01,"(692,151,813,246)"
46,0.77,With Helmet,0.01,"(720,150,808,233)"
46,0.77,With Helmet,0.01,"(439,159,510,231)"
46,0.77,With Helmet,0.01,"(305,109,397,186)"
46,0.77,No Helmet,0.01,"(686,151,810,247)"
47,0.78,With Helmet,0.01,"(717,151,808,234)"
47,0.78,With Helmet,0.01,"(440,159,509,231)"
47,0.78,With Helmet,0.01,"(305,109,397,186)"
